product_page_url	universal_product_code	title	price_including_tax	price_excluding_tax	number_available	product_description	category	review_rating	image_url
https://books.toscrape.com/catalogue/security_925/index.html	6f78a0d744c35456	Security	£39.25	£39.25	 (16 available)	“Original and imaginative . . . Ripping suspense, sheer terror, and a wrenching love story.” —Sandra Brown, New York Times bestselling author of FrictionThe terrible truth about Manderley is that someone is always watching. Manderley Resort is a gleaming, new twenty-story hotel on the California coast. It’s about to open its doors, and the world--at least those with the me “Original and imaginative . . . Ripping suspense, sheer terror, and a wrenching love story.” —Sandra Brown, New York Times bestselling author of FrictionThe terrible truth about Manderley is that someone is always watching. Manderley Resort is a gleaming, new twenty-story hotel on the California coast. It’s about to open its doors, and the world--at least those with the means to afford it--will be welcomed into a palace of opulence and unparalleled security. But someone is determined that Manderley will never open. The staff has no idea that their every move is being watched, and over the next twelve hours they will be killed off, one by one. Writing in the tradition of Edgar Allan Poe and Stephen King, and with a deep bow to Daphne du Maurier, author Gina Wohlsdorf pairs narrative ingenuity and razor-wire prose with quick twists, sharp turns, and gasp-inducing terror. Security is grand guignol storytelling at its very best. A shocking thriller, a brilliant narrative puzzle, and a multifaceted love story unlike any other, Security marks the debut of a fearless and gifted writer. “Be surprised, be very surprised: Gina Wohlsdorf brings more than just plot twists and a terrifically tender love story to this thriller . . . It’s her playful homage to Hitchcock and du Maurier that had me reading, howling, and just plain loving this novel.” —Sara Gruen, author of At the Water’s Edge “Grand Hotel meets Psycho in the age of surveillance . . . Security is cinematically vivid, crisply written, and sharp enough to cut . . . Wohlsdorf brilliantly subverts our expectations of the action genre in this smart, shocking, poignant thriller.” —Emily Croy Barker, author of The Thinking Woman’s Guide to Real Magic “The thrill of this novel goes beyond its wickedly clever,  split-screen, high-tech wizardry—a kind of video gamer’s literary retake of Hitchcock’s Rear Window--and emanates  from its strange, disembodied narrator . . . The effect is terrifying, sexy, dizzying, and impossible to look away from.” —Tim Johnston, author of Descent “Shocking and filled with Tarantino-ish dark humor. . . Structurally reminiscent of the amazing Jennifer Egan,Wohlsdorf’s book is certainly a hybrid, like nothing else. Get ready.” —Ann Beattie, author of The State We’re In “Flawless . . . Security is perfectly tuned for blockbuster status . . . They don’t make a hotel big enough to house all the people who will want to read this, and soon, as in Manderley, all eyes will be on Wohlsdorf.” —Daniel Kraus, Booklist, starred review   ...more	Horror	Two	https://books.toscrape.com/media/cache/79/2b/792bdeb2cf7d8efaef0e401e5a27b4da.jpg
https://books.toscrape.com/catalogue/follow-you-home_809/index.html	8585760646e3aa2a	Follow You Home	£21.36	£21.36	 (15 available)	It was supposed to be the trip of a lifetime, a final adventure before settling down.After a perfect start, Daniel and Laura’s travels end abruptly when they are thrown off a night train in the middle of nowhere. To find their way back to civilisation, they must hike along the tracks through a forest…a haunting journey that ends in unimaginable terror.Back in London, Danie It was supposed to be the trip of a lifetime, a final adventure before settling down.After a perfect start, Daniel and Laura’s travels end abruptly when they are thrown off a night train in the middle of nowhere. To find their way back to civilisation, they must hike along the tracks through a forest…a haunting journey that ends in unimaginable terror.Back in London, Daniel and Laura vow never to talk about what they saw that night. But as they try to fit back into their old lives, it becomes clear that their nightmare is just beginning…Follow You Home is a chilling tale of secrets, lies and deadly consequences from the author of #1 bestsellers The Magpies and Because She Loves Me. ...more	Horror	One	https://books.toscrape.com/media/cache/bb/c0/bbc0bdad3ad7f390017ea66bb7019579.jpg
https://books.toscrape.com/catalogue/the-loney_756/index.html	2d88a31f325dfd3b	The Loney	£23.40	£23.40	 (14 available)	If it had another name, I never knew, but the locals called it the Loney - that strange nowhere between the Wyre and the Lune where Hanny and I went every Easter time with Mummer, Farther, Mr and Mrs Belderboss and Father Wilfred, the parish priest.It was impossible to truly know the place. It changed with each influx and retreat, and the neap tides would reveal the skelet If it had another name, I never knew, but the locals called it the Loney - that strange nowhere between the Wyre and the Lune where Hanny and I went every Easter time with Mummer, Farther, Mr and Mrs Belderboss and Father Wilfred, the parish priest.It was impossible to truly know the place. It changed with each influx and retreat, and the neap tides would reveal the skeletons of those who thought they could escape its insidious currents. No one ever went near the water. No one apart from us, that is.I suppose I always knew that what happened there wouldn't stay hidden for ever, no matter how much I wanted it to. No matter how hard I tried to forget... ...more	Horror	One	https://books.toscrape.com/media/cache/84/cc/84cc7f93a8c6c766a6297a23227e68e8.jpg
https://books.toscrape.com/catalogue/pet-sematary_726/index.html	af58a74e4b2a23a0	Pet Sematary	£10.56	£10.56	 (14 available)	Sometimes dead is better....When the Creeds move into a beautiful old house in rural Maine, it all seems too good to be true: physician father, beautiful wife, charming little daughter, adorable infant son -- and now an idyllic home. As a family, they've got it all...right down to the friendly cat.But the nearby woods hide a blood-chilling truth -- more terrifying than dea Sometimes dead is better....When the Creeds move into a beautiful old house in rural Maine, it all seems too good to be true: physician father, beautiful wife, charming little daughter, adorable infant son -- and now an idyllic home. As a family, they've got it all...right down to the friendly cat.But the nearby woods hide a blood-chilling truth -- more terrifying than death itself...and hideously more powerful. ...more	Horror	Three	https://books.toscrape.com/media/cache/99/ef/99ef2f3987ee016bdd120a4579ef98f5.jpg
https://books.toscrape.com/catalogue/doctor-sleep-the-shining-2_686/index.html	bf5de316a5e9a4ab	Doctor Sleep (The Shining #2)	£40.12	£40.12	 (14 available)	Stephen King returns to the characters and territory of one of his most popular novels ever, The Shining, in this instantly riveting novel about the now middle-aged Dan Torrance (the boy protagonist of The Shining) and the very special twelve-year-old girl he must save from a tribe of murderous paranormals.On highways across America, a tribe of people called The True Knot Stephen King returns to the characters and territory of one of his most popular novels ever, The Shining, in this instantly riveting novel about the now middle-aged Dan Torrance (the boy protagonist of The Shining) and the very special twelve-year-old girl he must save from a tribe of murderous paranormals.On highways across America, a tribe of people called The True Knot travel in search of sustenance. They look harmless—mostly old, lots of polyester, and married to their RVs. But as Dan Torrance knows, and spunky twelve-year-old Abra Stone learns, The True Knot are quasi-immortal, living off the “steam” that children with the “shining” produce when they are slowly tortured to death.Haunted by the inhabitants of the Overlook Hotel where he spent one horrific childhood year, Dan has been drifting for decades, desperate to shed his father’s legacy of despair, alcoholism, and violence. Finally, he settles in a New Hampshire town, an AA community that sustains him, and a job at a nursing home where his remnant “shining” power provides the crucial final comfort to the dying. Aided by a prescient cat, he becomes “Doctor Sleep.”Then Dan meets the evanescent Abra Stone, and it is her spectacular gift, the brightest shining ever seen, that reignites Dan’s own demons and summons him to a battle for Abra’s soul and survival. This is an epic war between good and evil, a gory, glorious story that will thrill the millions of devoted readers of The Shining and satisfy anyone new to the territory of this icon in the King canon. ...more	Horror	Two	https://books.toscrape.com/media/cache/30/05/30053f9d8549febc67059c52fca65744.jpg
https://books.toscrape.com/catalogue/psycho-sanitarium-psycho-15_628/index.html	b8d7b3f5c7a95d65	Psycho: Sanitarium (Psycho #1.5)	£36.97	£36.97	 (12 available)	The original Psycho novel by Robert Bloch was published in 1959 and became an instant hit, leading to the smash movie only a year later, which brought Norman Bates's terrifying story into the public consciousness, where it still remains (proven by the success of the tv series, Bates Motel). It took Bloch 23 years to write another Psycho novel, revealing that Norman had bee The original Psycho novel by Robert Bloch was published in 1959 and became an instant hit, leading to the smash movie only a year later, which brought Norman Bates's terrifying story into the public consciousness, where it still remains (proven by the success of the tv series, Bates Motel). It took Bloch 23 years to write another Psycho novel, revealing that Norman had been in a mental institution the entire time. In that sequel, Norman quickly escapes the sanitarium and goes on a killing spree in Hollywood.But what happened in that asylum during those two decades? Until now, no one has known.It's 1960. Norman Bates is in the State Hospital for the Criminally Insane and it's up to Dr. Felix Reed to bring him out of his catatonic state.But Norman and Dr. Reed have obstacles in twisted fellow patients and staff members who think of the institution as a prison rather than a place of healing. And the greatest obstacle is the building itself, once a private sanitarium, rumored to be haunted. A wild card appears in the persona of Robert Newman, Norman's twin brother, taken away at birth after the attending doctor pronounced him brain damaged. As Robert and Norman grow to know each other, Norman senses a darkness in Robert, even deeper than that which has lurked in Norman himself.Soon, murders begin to occur and a shocking chain of events plunge us even deeper into the deranged madness inside the walls of Psycho: Sanitarium. ...more	Horror	Five	https://books.toscrape.com/media/cache/91/98/9198cedbd37561f2aa343d3eb04ee703.jpg
https://books.toscrape.com/catalogue/can-you-keep-a-secret-fear-street-relaunch-4_614/index.html	d069086944f2e330	Can You Keep a Secret? (Fear Street Relaunch #4)	£48.64	£48.64	 (12 available)	How many nightmares begin in the Fear Street Woods?Eddie and Emma are high school sweethearts from the wrong side of the tracks. Looking for an escape from their dreary lives, they embark on an overnight camping trip with four friends in the Fear Street Woods.As Eddie carves a heart in a tree, he and Emma make a shocking discovery. It’s a discovery that will lead to the en How many nightmares begin in the Fear Street Woods?Eddie and Emma are high school sweethearts from the wrong side of the tracks. Looking for an escape from their dreary lives, they embark on an overnight camping trip with four friends in the Fear Street Woods.As Eddie carves a heart in a tree, he and Emma make a shocking discovery. It’s a discovery that will lead to the end of friendships—and to murder.Meanwhile, Emmy is having strange, terrifying dreams about wolves. Are her dreams connected somehow to the real wolf attacks that plague the town of Shadyside?Emmy, it seems, is about to make a horrifying discovery about herself… ...more	Horror	One	https://books.toscrape.com/media/cache/03/83/0383a7f9cce4ab8fa1c5db6e69b169c6.jpg
https://books.toscrape.com/catalogue/red-dragon-hannibal-lecter-1_390/index.html	e958ae92f328c181	Red Dragon (Hannibal Lecter #1)	£23.37	£23.37	 (5 available)	Will Graham stands in a silent, empty house communing with a killer. An FBI instructor with a gift for hunting madmen, Graham knows what his murderer looks like, how he thinks, and what he did to his victims after they died. Now Graham must try to catch him. But to do it, he must feel the heat of a killer's brain, draw on the macabre advice of a dangerous mental patient, D Will Graham stands in a silent, empty house communing with a killer. An FBI instructor with a gift for hunting madmen, Graham knows what his murderer looks like, how he thinks, and what he did to his victims after they died. Now Graham must try to catch him. But to do it, he must feel the heat of a killer's brain, draw on the macabre advice of a dangerous mental patient, Dr. Hannibal Lecter, and follow a trail of microscopic clues to the place where another family has already been chosen to die--and where an innocent woman has found the Dragon first. ...more	Horror	Three	https://books.toscrape.com/media/cache/4a/ce/4acec5ebebf374e7a84a5d8c74ee5752.jpg
https://books.toscrape.com/catalogue/dracula-the-un-dead_370/index.html	e46b1074b99ac4b6	Dracula the Un-Dead	£35.63	£35.63	 (5 available)	"At last—the sequel to Bram Stoker's classic novel Dracula, written by his direct descendant and a Dracula historian Bram Stoker's Dracula is the prototypical horror novel, an inspiration for the world's seemingly limitless fascination with vampires. Though many have tried to replicate Stoker's horror classic—in books, television shows, and movies—only the 1931 Bela Lugosi At last—the sequel to Bram Stoker's classic novel Dracula, written by his direct descendant and a Dracula historian Bram Stoker's Dracula is the prototypical horror novel, an inspiration for the world's seemingly limitless fascination with vampires. Though many have tried to replicate Stoker's horror classic—in books, television shows, and movies—only the 1931 Bela Lugosi film bore the Stoker family's support. Until now. Dracula The Un-Dead is a bone-chilling sequel based on Bram Stoker's own handwritten notes for characters and plot threads excised from the original edition. Dracula The Un-Dead begins in 1912, twenty-five years after Dracula ""crumbled into dust."" Van Helsing's protégé, Dr. Jack Seward, is now a disgraced morphine addict obsessed with stamping out evil across Europe. Meanwhile, an unknowing Quincey Harker, the grown son of Jonathan and Mina, leaves law school for the London stage, only to stumble upon the troubled production of ""Dracula,"" directed and produced by Bram Stoker himself. The play plunges Quincey into the world of his parents' terrible secrets, but before he can confront them he experiences evil in a way he had never imagined. One by one, the band of heroes that defeated Dracula a quarter-century ago is being hunted down. Could it be that Dracula somehow survived their attack and is seeking revenge? Or is there another force at work whose relentless purpose is to destroy anything and anyone associated with Dracula? Dracula The Un-Dead is deeply researched, rich in character, thrills and scares, and lovingly crafted as both an extension and celebration of one of the most classic popular novels in literature. ...more"	Horror	Five	https://books.toscrape.com/media/cache/b1/f2/b1f25fa4623b3ee2db6fb6d6e27c6fb5.jpg
https://books.toscrape.com/catalogue/night-shift-night-shift-1-20_335/index.html	869d20b3b8128230	Night Shift (Night Shift #1-20)	£12.75	£12.75	 (4 available)	"Never trust your heart to the New York Times bestselling master of suspense, Stephen King. Especially with an anthology that features the classic stories ""Children of the Corn,"" ""The Lawnmower Man,"" ""Graveyard Shift,"" ""The Mangler,"" and ""Sometimes They Come Back""-which were all made into hit horror films.""Unbearable suspense."" (Dallas Morning News)From the depths of darkne Never trust your heart to the New York Times bestselling master of suspense, Stephen King. Especially with an anthology that features the classic stories ""Children of the Corn,"" ""The Lawnmower Man,"" ""Graveyard Shift,"" ""The Mangler,"" and ""Sometimes They Come Back""-which were all made into hit horror films.""Unbearable suspense."" (Dallas Morning News)From the depths of darkness, where hideous rats defend their empire, to dizzying heights, where a beautiful girl hangs by a hair above a hellish fate, this chilling collection of twenty short stories will plunge readers into the subterranean labyrinth of the most spine-tingling, eerie imagination of our time.Contents:· Introduction · John D. MacDonald · in · Foreword · fw · Jerusalem’s Lot · nv Night Shift, Garden City, NY: Doubleday, 1978 · Graveyard Shift · ss Cavalier Oct ’70 · Night Surf · ss Cavalier Aug ’74 · I Am the Doorway · ss Cavalier Mar ’71 · The Mangler · nv Cavalier Dec ’72 · The Boogeyman · ss Cavalier Mar ’73 · Gray Matter · ss Cavalier Oct ’73 · Battleground · ss Cavalier Sep ’72 · Trucks · ss Cavalier Jun ’73 · Sometimes They Come Back · nv Cavalier Mar ’74 · Strawberry Spring · ss Ubris Fll ’68; Cavalier Nov ’75 · The Ledge · ss Penthouse Jul ’76 · The Lawnmower Man · ss Cavalier May ’75 · Quitters, Inc. · ss Night Shift, Garden City, NY: Doubleday, 1978 · I Know What You Need · nv Cosmopolitan Sep ’76 · Children of the Corn · nv Penthouse Mar ’77 · The Last Rung on the Ladder · ss Night Shift, Garden City, NY: Doubleday, 1978 · The Man Who Loved Flowers · ss Gallery Aug ’77 · One for the Road · ss Maine Mar ’77 · The Woman in the Room · ss Night Shift, Garden City, NY: Doubleday, 1978 ...more"	Horror	Four	https://books.toscrape.com/media/cache/b8/84/b8843e0c3fbadb1682b095c99eda7f7a.jpg
